"profile_id","dataset_id","country_id","latitude","longitude","cfao_version","cfao_major_group","cwrb_version","cwrb_reference_soil_group","cstx_version","cstx_order_name","translated"
212684,{MX-INEGI},MX,26.27630788,-98.93531235,1974,Xerosols,,,,,true
212689,{MX-INEGI},MX,26.23204736,-99.42751171,1974,Xerosols,,,,,true
212690,{MX-INEGI},MX,26.23365946,-98.85166073,1974,Xerosols,,,,,true
212695,{MX-INEGI},MX,26.19929385,-99.32323960,1974,Xerosols,,,,,true
212702,{MX-INEGI},MX,26.15511033,-99.43450602,1974,Xerosols,,,,,true
212718,{MX-INEGI},MX,25.99063183,-98.26462740,1974,Yermosols,,,,,true
212754,{MX-INEGI},MX,25.44247282,-97.78600534,1974,Xerosols,,,,,true
212776,{MX-INEGI},MX,25.89714870,-100.71657873,1974,Xerosols,,,,,true
212779,{MX-INEGI},MX,25.87236093,-101.91691722,1974,Xerosols,,,,,true
212801,{MX-INEGI},MX,25.65901209,-100.65128914,1974,Xerosols,,,,,true
212891,{MX-INEGI},MX,25.74186895,-99.64329284,1974,Xerosols,,,,,true
212893,{MX-INEGI},MX,25.73108735,-99.06483035,1974,Xerosols,,,,,true
212899,{MX-INEGI},MX,25.69306991,-98.87421484,1974,Xerosols,,,,,true
212971,{MX-INEGI},MX,24.96037652,-100.53127302,1974,Xerosols,,,,,true
213128,{MX-INEGI},MX,24.40337265,-98.52567979,1974,Xerosols,,,,,true
213133,{MX-INEGI},MX,24.34206312,-100.01555184,1974,Xerosols,,,,,true
213142,{MX-INEGI},MX,24.31844982,-98.31310767,1974,Xerosols,,,,,true
213158,{MX-INEGI},MX,24.12922114,-98.04824778,1974,Xerosols,,,,,true
213159,{MX-INEGI},MX,24.10606631,-99.23263938,1974,Xerosols,,,,,true
213179,{MX-INEGI},MX,31.80181546,-116.26033503,1974,Yermosols,,,,,true
213203,{MX-INEGI},MX,31.24737802,-115.92456344,1974,Xerosols,,,,,true
